first_name,name,call_type,call_year,host_institution,project_acronym,snsf_fis,snsf_grants_before,had_snsf_grants_before,Applicant,ApplicantNumber
Anton,ALEKSEEV,AdG,2013,Université de Genève,MODFLAT,"Applicant Project funding;2013;152812;Equivariant cohomology, gauge theory and higher associators||Applicant Project funding;2011;140985;Topological quantum field theory, equivariant cohomology and Drinfeld associators||Co-applicant Project funding;2011;141329;Algèbre, Analyse, Géométrie et Physique||Applicant Project funding;2009;129609;Poisson Geometry, Lie Theory and 2-dimensional topological sigma-models||Co-applicant Project funding;2009;126817;Algèbre, Analyse, Géométrie et Physique||Co-applicant Project funding;2008;121675;Algèbre, Analyse, Géométrie et Physique||Applicant Project funding;2007;120042;Symmetry, Deformation Quantization and Integrability||Co-applicant Project funding;2007;117596;Algèbre, Analyse, Géométrie et Physique||Co-applicant Project funding;2006;113256;Algèbre, Analyse, Géométrie et Physique||Applicant Project funding;2005;111833;Symmetry, Deformation Quantization and Conformal Field Theory||Co-applicant Project funding;2005;109175;Algèbre, Analyse, Géométrie et Physique||Co-applicant Project funding;2004;105209;Algèbre, Analyse, Géométrie et Physique||Applicant Project funding;2003;103499;Symmetry and Conformal Field Theory||Co-applicant Project funding;2003;101624;Algèbre et Géométrie||Applicant Project funding;2002;100120;D-branes, Noncommutative Geometry and Quantization Problems||Co-applicant Project funding;2002;67839;Algèbre et Géométrie||Applicant Project funding;2001;66917;D-branes, Noncommutative Geometry and Quantization Problems||Co-applicant Project funding;2001;64869;Algèbre et géométrie",18,TRUE,Alekseev Anton,126561
Jake,ALEXANDER,StG,2015,Université de Lausanne,NICH,NA,0,FALSE,NA,NA
Yann,ALIBERT,StG,2009,Universität Bern,PLANETOGENESIS,NA,0,FALSE,NA,NA
Andrea,ALIMONTI,StG,2010,Istituto Oncologico della Svizzera Italiana,PICS therapy,NA,0,FALSE,NA,NA
Simone,ALIOLI,StG,2016,Universität Zürich,REINVENT,NA,0,FALSE,NA,NA
Matthias,ALTMEYER,StG,2016,Universität Zürich,DiVineGenoMe,Applicant SNSF Professorships;2013;150690;Uncovering concealed regulators and unexpected pathway connections guarding against genome instability,1,TRUE,Altmeyer Matthias,623796
Hatice,ALTUG,CoG,2015,Ecole Polytechnique Fédérale de Lausanne,VIBRANT-BIO,NA,0,FALSE,NA,NA
Charalampos,ANASTASIOU,StG,2010,Eidgenössische Technische Hochschule Zürich,IterQCD,Applicant Project funding;2009;126632;Perturbative computations in gauge theories  for collider experiments||Applicant Project funding;2007;117873;Perturbative computations in gauge theories for collider experiments,2,TRUE,Anastasiou Charalampos,514969
Ueli,ANGST,StG,2019,Eidgenössische Technische Hochschule Zürich,TAMING CORROSION,Applicant SNSF Professorships;2015;163675;ENDURE - Enhanced Durability Predictions of Reinforced Concrete Exposed to Corrosive Environments||Co-applicant Project funding;2011;140243;Langzeitstabile Referenzelektroden für Stahlbeton,2,TRUE,Angst Ueli,599494
Aldo,ANTOGNINI,CoG,2016,Paul Scherrer Institut,HyperMu,"Applicant Project funding;2015;165854;Hyperfine splitting in muonic hydrogen and 3He and thin-disk laser development||Co-applicant Project funding;2014;159754;Development of a new very bright beam of positive muons,  novel muonium production methods and first steps towards a new muonium spectroscopy experiment||Co-applicant Project funding;2014;159755;Thin-disk laser for muonic atoms spectroscopy - 2||Co-applicant Project funding;2012;146902;Development of a new very bright beam of positive muons and novel muonium production methods||Co-applicant Project funding;2011;138175;Thin-disk laser for muonic atoms spectroscopy",5,TRUE,Antognini Aldo,588555
Stylianos,ANTONARAKIS,AdG,2009,Université de Genève,HuCNC,"Applicant Project funding;2009;127375;Chromosome 21: functional genomics and molecular pathophysiology of its disorders||Co-applicant Project funding;2008;125469;Copy number variants in bipolar affective disorder||Co-applicant Project funding (special);2008;121996;Geneva VCFS longitudinal project: neurobehavioral outcomes in adolescents and adults||Co-applicant Project funding;2007;120379;Dissecting the Role of Transposon-Insertions for Allelic Underexpression of Eleven Candidate Transposon-Regulated Cellular Genes||Co-applicant Project funding;2005;110012;Host genetic and genomic determinants of susceptibility to HIV-1||Applicant Project funding;2004;105602;Chromosome 21: functional genomics and molecular pathophysiology of its disorders||Co-applicant Project funding;2003;102168;Genetic and genomic analyses of suicide||Applicant Project funding;2003;102231;Functional analysis of conserved non-genic sequences (CNGs)||Co-applicant Project funding;2001;64987;The molecular basis of congenital afibriogenemia: mutations, phenotypic modifiers and gene therapy||Co-applicant Project funding;1999;59399;The genetic pathophysiology of autosomal recessive coagulation disorder congenital afibrinogenemia||Applicant Project funding;1999;57149;Disorders that map on human chromosome 21; cloning of genes and understanding their pathophysiology||Co-applicant Project funding;1998;56000;Genetics of the EEG theta rhythm in mice||Co-applicant Project funding;1998;55848;The genetic pathophysiology of autosomal recessive coagulation disorders: combined factor 5/factor 8 deficiency (F5F8D) and congenital afibrinogenemia",13,TRUE,Antonarakis Stylianos,41196
Silvia,ARBER,AdG,2009,"Novartis Forschungsstiftung, Zweigniederlassung Friedrich Miescher
Institute for Biomedical Research",Motor Circuits,Applicant Project funding;2008;125973;Genetic control of neuronal circuit assembly in the spinal cord||Applicant Project funding;2005;112525;Genetic control of neuronal circuit assembly in the spinal cord||Applicant Project funding;2000;63492;Molecular specification and connectivity in the developing spinalcord,3,TRUE,Arber Silvia,95335
Gulnara,ARZHANTSEVA,StG,2010,Université de Neuchâtel,ANALYTIC,"Co-applicant Sinergia;2009;130435;Groupes sofiques: algèbre, analyse et dynamique||Applicant SNSF Professorships;2002;68627;Geometry of groups and asymptotic invariants",2,TRUE,Arjantseva Goulnara,138170
David,ATIENZA ALONSO,CoG,2016,Ecole Polytechnique Fédérale de Lausanne,COMPUSAPIEN,Applicant Project funding;2014;159853;E4Bio: Energy-efficient heterogeneous systems for embedded bio-signal analysis||Applicant Project funding;2009;130048;Scalable High-Performance Computing Simulator for Manycore Platforms||Applicant Project funding;2009;127282;Dynamically Adaptive Architectures for Nomadic Embedded Systems,3,TRUE,Atienza Alonso David,524524
Johan Henri,AUWERX,AdG,2008,Ecole Polytechnique Fédérale de Lausanne,Sirtuins,Applicant Project funding;2008;124713;Phenogenomics of the sirtuin gene family,1,TRUE,Auwerx Johan,97749
Claus Maria,AZZALIN,StG,2009,Eidgenössische Technische Hochschule Zürich,BFTERRA,"Applicant SNSF Professorships;2008;123356;Transcription of telomeric heterochromatin||Applicant Project funding;2007;120090;Biogenesis, regulation and function of telomeric repeat containing RNA at mammalian chromosome ends",2,TRUE,Azzalin Claus Maria,139393
Philippe,BACCHETTA,AdG,2010,Université de Lausanne,LIQRISK,Co-applicant Sinergia;2010;133058;The Macroeconomics of Financial Crises,1,TRUE,Bacchetta Philippe,64232
Dominik,BACH,CoG,2018,Universität Zürich,ActionContraThr eat,Applicant Project funding;2013;149586;Distributed fear learning systems in the human brain||Co-applicant Interdivisional projects;2006;116768;Differentiation between paedophile child abusers and consumers of child internetpornography (internet sex offenders) by means of visual erotic stimulation,2,TRUE,Bach Dominik,514652
Nenad,BAN,AdG,2009,Eidgenössische Technische Hochschule Zürich,Eukaryotic Ribosome,Applicant Project funding;2008;126026;Structural and functional studies of prokaryotic and eukaryotic ribosomes||Applicant Project funding;2005;112039;Structural and functional studies of prokaryotic and eukaryotic ribosomes||Applicant Project funding;2000;64109;Crystallograhic study of prokaryotic and eukaryotic ribosomes,3,TRUE,Ban Nenad,122904
Natalie,BANERJI,StG,2016,Université de Fribourg,OSIRIS,Applicant SNSF Professorships;2013;150536;A Mechanistic Approach to Organic Electronics||Applicant Ambizione;2011;136853;Conjugated Donor-Acceptor Copolymers: Understanding Their Optoelectronic Functioning in Organic Solar Cells,2,TRUE,Banerji Natalie,559366
Yves,BARRAL,AdG,2009,Eidgenössische Technische Hochschule Zürich,BarrAge,"Applicant Project funding;2009;127370;Mechanism and Function of Spindle Asymmetry||Co-applicant Sinergia;2008;125232;Membrane topology of lipid synthesis, transport, and turnover and their role in the physiology of starvation and aging||Co-applicant Interdivisional projects;2004;107782;Origin and Function of Codon-Bias||Applicant Project funding;2004;105904;Spatial and temporal coordination of spindle and cortical events during yeast mitosis||Co-applicant Interdivisional projects;2002;100461;Origin and Function of Codon-Blas||Applicant Project funding;2000;63797;Assembly of the septin cytoskeleton in budding yeast",6,TRUE,Barral Yves,116946
Konrad,BASLER,AdG,2008,Universität Zürich,Drosophilasignaling,"Applicant Project funding;2007;120521;Signaling pathways controlling patterning, growth and final size of Drosophila limbs||Co-applicant Project funding;2006;113089;COPAS-PLUS - Complex Object Parametric Analysis And Sorting||Applicant Project funding;2002;100555;Signaling pathways controlling Drosophila limb development",3,TRUE,Basler Konrad,45991
Marek,BASLER,CoG,2019,Universität Basel,AimingT6SS,Applicant Project funding;2014;159525;Molecular mechanisms of force generation and protein translocation by contractile tails,1,TRUE,Basler Marek,644002
Tunacy,BAUBEC,CoG,2019,Universität Zürich,ChromatinLEGO,"Co-applicant Sinergia;2017;180345;Chemical modulation of bromodomain function in development and disease||Applicant SNSF Professorships;2014;157488;Epigenomic patterns: generation, interpretation and their role in regulating genome function",2,TRUE,Baubec Tuncay,624144
Laura,BAUDIS,AdG,2016,Universität Zürich,Xenoscope,Applicant Project funding;2015;162501;Search for particle dark matter and for the neutrinoless double beta decay with cryogenic detectors||Applicant Project funding;2013;149256;Search for particle dark matter and for the neutrinoless double beta decay with cryogenic detectors||Applicant Project funding;2011;138225;Search for particle dark matter and for the neutrinoless double beta decay with cryogenic detectors||Applicant Project funding;2009;126938;Search for particle dark matter and for the neutrinoless double beta decay with cryogenic detectors||Applicant Project funding;2007;118119;Search for particle dark matter and for the neutrinoless double beta decay with cryogenic detectors,5,TRUE,Baudis Laura,537859
Daphne,BAVELIER,SyG,2018,Université de Genève,BrainPlay,Applicant Project funding;2017;178814;Cognitive Enhancements: Mechanisms and Limits||Applicant Project funding;2014;159506;Determinants of pattern learning: What role for attentional control?||Applicant Project funding;2011;140676;Which aspects of attention should be fostered to lead to broad behavioral benefits?,3,TRUE,Bavelier Daphné,594482
Gabriele,BAVOTA,StG,2019,Università della Svizzera Italiana,DEVINTA,Applicant Project funding;2017;175513;CCQR - Crowdsourced Code Quality Review||Applicant Project funding;2016;172479;JITRA - Just-In-Time Rational refActoring,2,TRUE,Bavota Gabriele,691840
Burkhard,BECHER,AdG,2019,Universität Zürich,IMPACT,"Applicant Project funding;2019;188450;The role of the cytokine GM-CSF in mammalian myelopoiesis during development, steady state and dysregulation||Applicant Sinergia;2018;183478;Machine learning based integration of high-dimensional cytometry and radiomics data to identify treatment responses in cancer-immunotherapy||Applicant Project funding;2016;170320;The role of the NF-kappa B inducing kinase NIK in central T cell tolerance and peripheral immune regulation||Applicant Project funding;2012;146130;The role of the NF?B-inducing kinase NIK in the development and function of cellular immunity||Applicant Sinergia;2010;136203;The interplay between innate and adaptive tumor-specific immune responses induced through local tumor therapy in skin cancer||Applicant Project funding;2009;131091;The role of noncanonical NF-kB signaling in the development of autoimmune inflammation||Applicant Project funding;2006;116070;The role of lymphoid structures and NF-kB2 signaling in the development of immunization-induced autoimmune disease||Applicant Project funding;2003;104117;Target recognition by encephalitogenic T cells: The role of Ag-Presenting cells in experimental autoimmune encepahlomyelitis",8,TRUE,Becher Burkhard,507865
Niko,BEERENWINKEL,SyG,2013,Eidgenössische Technische Hochschule Zürich,MERIC,Co-applicant Project funding;2012;146579;Dynamics of HIV latency and reactivation at population and single-cell level||Applicant Interdisciplinary projects;2012;146331;HIV-1 whole-genome quasispecies analysis in longitudinal clinical samples||Co-applicant Sinergia;2011;136247;Systems-wide responses of colon cells to food components and impact on cancer drug action||Co-applicant Project funding;2010;135672;Isotonic regression on partially ordered sets for estimating covariate-adjusted monotonic fitness landscapes||Co-applicant Project funding;2009;130699;24 hours in the life of HIV-1||Co-applicant Sinergia;2009;130080;Emotional Memory in Health and Disease||Applicant Interdisciplinary projects;2009;127017;HIV-1 whole-genome quasispecies analysis by ultra-deep sequencing and computational haplotype inference to determine the mechanisms of drug resistance development,7,TRUE,Beerenwinkel Niko,552326
Niklas,BEISERT,CoG,2013,Eidgenössische Technische Hochschule Zürich,GaugeGravSym,Applicant Project funding;2011;137616;Algebraic Foundations of Integrability in the Planar Gauge/String Duality,1,TRUE,Beisert Niklas,590064
Camilla,BELLONE,CoG,2019,Université de Genève,SocialNAc,Applicant Project funding;2018;182326;Synaptic mechanisms underlying behaviour induced by social isolation in adolescent mice||Applicant SNSF Professorships;2013;150704;Role of the reward system in social interactions||Applicant Ambizione;2010;131736;Nicotine exposure of the unborn: effects on postnatal maturation of excitatory synaptic transmission in the cortico-limbic system.,3,TRUE,Bellone Camilla,524910
Yaakov,BENENSON,StG,2011,Eidgenössische Technische Hochschule Zürich,CellControl,NA,0,FALSE,NA,NA
Mohamed,BENTIRES-ALJ,StG,2009,Friedrich Miescher Institute for Biomedical Research,PTPSBDC,NA,0,FALSE,NA,NA
Richard,BENTON,StG,2007,Université de Lausanne,OLFACTORYIGLURS,NA,0,FALSE,NA,NA
Thomas,BERNAUER,AdG,2011,Eidgenössische Technische Hochschule Zürich,SourceLeg,Applicant Project funding;2010;135261;Explaining Spatial and Temporal Dynamics in Climate Change Policy Making||Applicant Interdisciplinary projects;2007;120266;Combined Modeling of Water Availability and Water Demand in Large-Scale International River Basins: A Study on the Zambezi Catchment||Applicant Project funding;2007;120357;Cooperative Management of International Freshwater Resources||Applicant Project funding;2005;112029;Determinants of Environmental Product Innovation - A Comparative Study on Manufacturers of Electrical and Electronic Appliances in Germany and California||Applicant Project funding;2005;109335;Determinants of Green Innovation in the German and Swiss Food and Beverage Industry: What Role Does Environmental Regulation Play?||Applicant Project funding;2003;101692;Democratic Political Processes and Exchange Rate Behavior,6,TRUE,Bernauer Thomas,32872
Rizlan,BERNIER-LATMANI,CoG,2016,Ecole Polytechnique Fédérale de Lausanne,UNEARTH,"Applicant Project funding;2016;169557;Novel arsenic sources and sinks in Mekong River Delta sediments||Co-applicant Interdisciplinary projects;2015;166455;Designing pentavalent uranium species to uncover the mechanism(s) of environmental uranium reduction.||Applicant Project funding;2015;162862;Deconvoluting the role of biotic vs. abiotic processes in U(VI) reduction||Applicant Project funding;2014;157007;Role of sulfur cycling in the release of arsenic from Mekong River Delta sediments||Applicant Project funding;2014;156957;Extracellular electron transfer by Clostridium acetobutylicum and Shewanella oneidensis||Applicant Sinergia;2013;147603;In vivo germination of Clostridium difficile endospores: where, when and how?||Applicant Interdivisional projects;2012;146568;Environmental relevance of solid-phase iron reduction by Firmicutes||Applicant Project funding;2012;144335;Characterization and mechanism of formation of monomeric U(IV)||Co-applicant Project funding;2011;140246;Geo-mechanical investigations of bio-improved soils||Applicant Project funding;2009;126821;Microbial and geochemical controls on the formation of molecular U(IV) as a product of U(VI) bioreduction||Applicant Interdivisional projects;2009;127546;Metal reduction by the sulfate-reducing bacterium Desulfotomaculum reducens||Applicant Project funding;2006;113784;Biogeochemical processes governing the stability of bacteriogenic uraninite with respect to oxidative dissolution||Applicant Project funding;2005;112337;Microarray investigation of U(VI) reduction by the novel sulfate-reducing bacterium desulfotomaculum reducens MI-1",13,TRUE,Bernier-Latmani Rizlan,117321
Aude,BILLARD,AdG,2016,Ecole Polytechnique Fédérale de Lausanne,SAHR,Applicant SNSF Professorships;2001;66127;Learning By Imitation: Computational Modeling and Robotics,1,TRUE,Billard Aude,76802
Franziska,BLEICHERT,StG,2017,Friedrich Miescher Institute for Biomedical Research,ORISPECIFICA TION,NA,0,FALSE,NA,NA
Melanie,BLOKESCH,StG,2012,Ecole Polytechnique Fédérale de Lausanne,VIR4ENV,Applicant Project funding;2012;143356;Understanding the dynamics of competence induction and DNA uptake in Vibrio cholerae||Applicant Project funding;2009;127029;Linking the natural competence program of Vibrio cholerae to its environmental niche.,2,TRUE,Blokesch Melanie,559305
Jeffrey,BODE,StG,2012,Eidgenössische Technische Hochschule Zürich,CASAA,Applicant Project funding;2010;131957;Chemoselective Peptide Ligation,1,TRUE,Bode Jeffrey,574330
Bernd,BODENMILLER,StG,2013,Universität Zürich,Signaling 3D,Applicant SNSF Professorships;2012;144874;Analysis of the epithelial-mesenchymal transition regulatory networks in single-cells through time and space by mass cytometry||Applicant Project funding;2012;143877;Epithelial-Mesenchymal Transition Single-Cell Signaling States and Phenotypes through Time and Space,2,TRUE,Bodenmiller Bernd,543494
Ardemis,BOGHOSSIAN,StG,2019,Ecole Polytechnique Fédérale de Lausanne,NanoBiOptics,"Applicant Project funding;2018;184822;Near-infrared Optical Probing of Protein Interactions on Carbon Nanotubes||Applicant Assistant Professor (AP) Energy Grants;2013;154269;Recombinant, Photosynthetic Bacteria for Photovoltaic Solar Energy Conversion",2,TRUE,Boghossian Ardemis,638179
David,BOMMES,StG,2019,Universität Bern,AlgoHex,NA,0,FALSE,NA,NA
Sebastian,BONHOEFFER,AdG,2010,Eidgenössische Technische Hochschule Zürich,PBDR,Applicant Project funding (special);2010;133129;Evolutionary genetics of HIV-1: Exploring evolution on complex fitness landscapes||Applicant Project funding;2006;116408;Evolution of recombination from a retroviral perspective: Mathematical models and data analysis||Co-applicant Project funding (special);2005;112594;HIV-1 drug resistance in the swiss HIV cohort study: epidemiology and impact on the management of HIV infected patients,3,TRUE,Bonhoeffer Sebastian,90399
Camille,BONVIN,CoG,2019,Université de Genève,LSSgrav,Applicant Project funding;2019;191996;Testing the law of gravity with novel large-scale structure observables||Applicant SNSF Professorships;2013;150613;Testing Gravity with large-scale structure,2,TRUE,Bonvin Camille,513751
Jean- Philippe,BRANTUT,StG,2016,Ecole Polytechnique Fédérale de Lausanne,DECCA,Applicant Ambizione;2013;148089;Mesoscopic Physics with Utracold Atoms,1,TRUE,Brantut Jean-Philippe,622501
Camille‐Sophie,BRES,StG,2012,Ecole Polytechnique Fédérale de Lausanne,MATISSE,Applicant Project funding;2011;140816;Narrowband optical parametric amplification for tunable sources and other applications,1,TRUE,Brès Camille-Sophie,598402
Stefan,BRÖNNIMANN,AdG,2017,Universität Bern,PALAEO-RA,"Applicant Interdivisional projects;2016;169676;Swiss Early Instrumental Measurements for Studying Decadal Climate Variability (CHIMES)||Applicant Project funding;2015;162668;Reconstructing Climate Using Ensemble Kalman Fitting (REUSE)||Co-applicant Project funding;2014;156059;Atmospheric blocking - moist dynamical processes and links to flood events||Co-applicant Sinergia;2013;147659;Future and Past Solar Influence on the Terrestrial Climate II||Applicant Project funding;2012;146599;Physics-based correction of inhomogeneities in temperature series related to the change from Wild screens to Stevenson screens (TWIST)||Applicant Project funding;2012;143219;Long-term changes of weather extremes in a large ensmble of climate model simulations (EXTRA-LARGE)||Applicant Project funding;2009;130407;Extension, Validation and Analysis of Historical Upper-Air Data Sets (EVALUATE)||Co-applicant Sinergia;2009;130642;Future and Past Solar Influence on the Terrestrial Climate||Applicant SNSF Professorships;2003;102731;Past climate variability from an upper level perspective",9,TRUE,Brönnimann Stefan,123700
Michael,BRONSTEIN,StG,2012,Università della Svizzera Italiana,COMET,NA,0,FALSE,NA,NA
Petr,BROZ,CoG,2017,Université de Lausanne,InflamCellDeath,Applicant Project funding;2017;175576;Role of the ESCRT-III machinery in inflammasome-induced cell death and cytokine release||Applicant SNSF Professorships;2011;139120;Dynamics and molecular mechanisms of pathogen-induced inflammasome activation,2,TRUE,Broz Petr,548516
Juergen,BRUGGER,AdG,2016,Ecole Polytechnique Fédérale de Lausanne,MEMS 4.0,Co-applicant Project funding;2011;140981;3D Silicon Nanowire Arrays - II (one-year extension)||Co-applicant Project funding;2011;140493;Active control of ionic transport in sythetic nanoporous membranes||Applicant Interdisciplinary projects;2011;140623;1-year extension: Engineering the Microenvironment: mechanosensation and asymmetric stem cell division in physiologically relevant cell niches||Applicant Interdivisional projects;2011;138055;CeraMed - Implantable Ceramic MEMS Electrodes for Cardiac Pace Makers||Co-applicant Project funding;2010;132539;Vertically-stacked Si Nanowires for Logic and Memory Circuits||Applicant Interdisciplinary projects;2008;125290;Engineering the Microenvironment: mechanosensation and asymmetric stem cell division in physiologically relevant cell niches||Co-applicant Project funding;2008;125018;3D Silicon Nanowire Arrays||Co-applicant Project funding;2008;122134;Radio Flexible||Co-applicant Project funding;2006;113780;Radio on paper||Co-applicant Project funding;2005;112291;Wafer-Scale Hybrid CMOS / Nanoelectronic System Integration for Multiple-Valued Logic and Memory Arrays||Applicant Interdivisional projects;2005;112323;Differentiation and mechanosensitive gene expression of cells cultured on 2D/3D micro- and nanosurfaces||Co-applicant Project funding;2003;101847;Nano-scale hybrid CMOS-SET IC architectures (NANO-IC),12,TRUE,Brugger Jürgen,47428
Christoph,BUCHS-SCHWAB,AdG,2009,Eidgenössische Technische Hochschule Zürich,STAHDPDE,Co-applicant Project funding;2008;121892;Sparse Tensor Approximation Methods for High-Dimensional Transport Problems||Applicant Project funding;2007;120290;Partial Differential Equations with Random Input Data - Numerical Analysis and Scientific Computing||Applicant Project funding;2003;103428;Numerics of electrorheological fluids and nematic liquid crystals||Applicant Project funding;2002;100017;Hierarchic FEM for Periodic Lattice and Honeycomb Materials||Co-applicant Project funding;2000;63397;Analysis and implementation of domain decomposition preconditioners for hp-finite element approximations||Applicant Project funding;1999;58754;Hierarchic FE-Models for periodic lattice and honeycomb materials,6,TRUE,Schwab Christoph,97073
Marc,BÜHLER,StG,2011,Friedrich Miescher Institute for Biomedical Research,RNAiGenReg,Co-applicant Project funding;2009;129654;Epigenetic placental alterations in preeclampsia||Applicant SNSF Professorships;2007;119193;Studies on the role of RNAi and other RNA turnover mechanisms in initiation and maintenance of heterochromatin,2,TRUE,Bühler Marc,509351
Peter Lukas,BÜHLMANN,AdG,2017,Eidgenössische Technische Hochschule Zürich,CausalStats,"Applicant Project funding;2017;175508;High-dimensional, large-scale and causal statistical inference, with applications in biology||Applicant Project funding;2013;153504;Assessing statistical uncertainty in high-dimensional models, and bio-medical applications||Applicant Project funding;2006;113270;Statistical estimation of very large dependence graphs and applications to genetic regulatory networks||Applicant Project funding;2004;105276;Statistical estimation of very large dependence graphs and applications to genetic regulatory networks",4,TRUE,Bühlmann Peter,57708
Raffaella,BUONSANTI,StG,2016,Ecole Polytechnique Fédérale de Lausanne,HY-CAT,Applicant Assistant Professor (AP) Energy Grants;2015;166897;Colloidal chemistry for engineering complex metal oxides to advance solar-to-fuel conversion studies,1,TRUE,Buonsanti Raffaella,674373
Markus,BÜTTIKER,AdG,2013,Université de Genève,FLOQUET,"Applicant Project funding;2010;131832;Mesoscopic Physics: Transport, Correlations and Entanglement||Applicant Project funding;2008;121807;Mesoscopic Physics: Transport, Correlations and Entanglement||Applicant Project funding;2006;113462;Mesoscopic Physics: Transport, Correlations and Entanglement||Applicant Project funding;2004;105159;Mesoscopic Physics: Transport, Correlations and Entanglement||Applicant Project funding;2002;68078;Mesoscopic Physics: Transport, Correlations and Entanglement||Applicant Project funding;2000;61695;Mesoscopic Physics, electrical transport and nonequilibrium statistical mechanics||Co-applicant Project funding;1999;56938;Cosmology and Particle Physics||Applicant Project funding;1998;53821;Mesoscopic Physics, Electrical Transport and Nonequilibrium Statistical Mechanics",8,TRUE,Büttiker Markus,56104
Jan,CAMENISCH,AdG,2012,IBM Research GmbH,PERCY,NA,0,FALSE,NA,NA
George,CANDEA,StG,2011,Ecole Polytechnique Fédérale de Lausanne,NOBUGS,Co-applicant Sinergia;2011;136318;Trustworthy Cloud Storage||Applicant Project funding;2007;120309;Developing Immunity against Failures in Large Concurrent Software Systems,2,TRUE,Candea George,541905
Andrea,CANNIZZO,StG,2011,Universität Bern,FunctionalDyna,NA,0,FALSE,NA,NA
Sebastiano,CANTALUPO,CoG,2019,Eidgenössische Technische Hochschule Zürich,CosmicWeb,Applicant SNSF Professorships;2015;163824;From Cosmic Web to Galaxies: Illuminating the Gaseous Link between the Dark and the Bright Universe,1,TRUE,Cantalupo Sebastiano,510066
Srdjan,CAPKUN,CoG,2016,Eidgenössische Technische Hochschule Zürich,CSP,Co-applicant Project funding;2011;138089;Privacy of Context-Aware Applications (PICAWA)||Co-applicant Sinergia;2011;136318;Trustworthy Cloud Storage||Applicant Project funding;2009;129605;Secure Localization and Location Privacy in Wireless Networks (II)||Applicant Project funding;2009;127294;Secure Resource Verification in Wide-Area Internet Services||Applicant Project funding;2006;116444;Secure Localization and Location Privacy in Wireless Networks,5,TRUE,Capkun Srdjan,533681
Marco,CAPOGROSSO,StG,2019,Université de Fribourg,REAL LIFE,Applicant Ambizione;2016;167912;Design of epidural implants and electrical stimulation protocols for the recovery of ARM control after spinal cord injury (D-ARM),1,TRUE,Capogrosso Marco,641524
